gene_symbols,highly_variable,means,dispersions,dispersions_norm,mean,std
ENSG00000211973,1,0.015157134,6.0814166,4.1297884,0.00188122,0.06649861
ENSG00000211974,1,0.0067185075,7.367779,5.568226,0.0006434115,0.040125724
ENSG00000211976,1,0.054349102,7.8852286,6.146849,0.0016908499,0.074095316
ENSG00000211979,1,0.0020363478,6.7916174,4.9239497,0.0001470856,0.01965389
ENSG00000212657,1,0.011449595,3.6482928,1.4090178,0.0025146764,0.070396796
ENSG00000213931,1,0.013564541,4.3215427,2.1618602,0.0014359858,0.06645561
ENSG00000213934,1,0.023262924,5.111492,3.0451984,0.0030864475,0.08959415
ENSG00000214049,1,0.00045571753,3.585417,1.3387089,0.00010967542,0.014066275
ENSG00000214353,1,0.006070651,3.4271207,1.1616985,0.0012895447,0.05173476
ENSG00000214414,1,4.6864057e-05,3.4119425,1.1447259,1.06345615e-05,0.004412217
ENSG00000214700,1,0.00036794815,3.6579418,1.4198076,5.5478988e-05,0.012148867
ENSG00000215182,1,0.00018993956,4.107671,1.9227042,2.1571197e-05,0.008086309
ENSG00000215305,1,0.24427222,3.4789824,1.2196914,0.08463067,0.35722277
ENSG00000215403,1,2.9285991e-05,3.493814,1.2362761,5.6466906e-06,0.003514836
ENSG00000215568,1,0.0010171692,3.632664,1.3915412,0.00022370167,0.021326277
ENSG00000215692,1,0.026198287,3.7689996,1.5439947,0.003787717,0.1019823
ENSG00000216921,1,0.0006909265,3.551869,1.3011945,0.000112150046,0.016833927
ENSG00000218537,1,0.38884914,3.993136,1.8890983,0.050951984,0.40228063
ENSG00000220161,1,0.01021914,3.4283335,1.1630546,0.0026714217,0.06843068
ENSG00000220925,1,0.0023341782,3.4643033,1.2032768,0.0003748768,0.031473085
ENSG00000221878,1,5.7850175e-05,3.5945418,1.3489124,1.2947619e-05,0.004683056
ENSG00000222037,1,0.016971514,5.8948226,3.9211354,0.0022005658,0.075076945
ENSG00000222047,1,0.0016794913,3.8723292,1.6595402,0.00033040947,0.025768802
ENSG00000223350,1,0.024131011,7.0348372,5.1959233,0.0019980762,0.072532274
ENSG00000223373,1,0.00042202504,3.4368017,1.172524,7.7671946e-05,0.013426523
ENSG00000223390,1,0.0629486,3.7734747,1.5489988,0.009615292,0.15826066
ENSG00000223609,1,0.0717772,4.587233,2.4589608,0.00720359,0.14979932
ENSG00000223617,1,5.1978936e-05,3.690021,1.4556793,7.246162e-06,0.0044125738
ENSG00000223648,1,0.009491222,7.2442446,5.4300876,0.0007756173,0.040893905
ENSG00000223669,1,0.0004400343,3.4775352,1.2180731,7.70448e-05,0.013710393
ENSG00000223776,1,0.0096649,3.465076,1.2041408,0.0023669223,0.06707019
ENSG00000223834,1,0.00030044123,3.4835076,1.2247516,6.1213046e-05,0.011196956
ENSG00000223855,1,0.07193259,3.5604563,1.3107972,0.01164325,0.1759687
ENSG00000223863,1,3.778132e-05,3.4689384,1.2084597,9.751696e-06,0.003930717
ENSG00000223901,1,0.001401922,3.4063013,1.1384178,0.00025786072,0.024662953
ENSG00000224027,1,8.4694984e-05,3.8596654,1.645379,2.1365782e-05,0.00550406
ENSG00000224041,1,0.005462704,6.979565,5.134117,0.0005173063,0.03444483
ENSG00000224049,1,0.000567084,3.726283,1.4962281,9.05974e-05,0.014824331
ENSG00000224063,1,0.021704128,3.4156706,1.1488948,0.0056441217,0.101359375
ENSG00000224099,1,0.0057578785,3.469279,1.2088408,0.0013134204,0.05045518
ENSG00000224116,1,0.0064967307,3.4176822,1.1511439,0.0015897952,0.054572158
ENSG00000224138,1,0.0013778827,3.456192,1.1942066,0.00024010321,0.024372188
ENSG00000224186,1,0.054009456,3.4537303,1.1914538,0.010570613,0.15480974
ENSG00000224359,1,4.6611116e-05,4.8947687,2.8028536,2.9392406e-06,0.0032547775
ENSG00000224373,1,0.2577931,7.8682675,6.127883,0.00957817,0.16909426
ENSG00000224418,1,0.0013955852,3.6040432,1.3595371,0.00038914464,0.024863584
ENSG00000224424,1,0.04733924,3.5624301,1.3130045,0.008007386,0.14280045
ENSG00000224468,1,0.0003751757,3.6979942,1.464595,6.118322e-05,0.012304738
ENSG00000224509,1,0.011601482,3.4221501,1.1561403,0.0024286923,0.072116695
ENSG00000224607,1,0.00066021073,5.6767764,3.6773112,8.7720364e-05,0.013394174
ENSG00000224650,1,0.22748318,7.772115,6.0203633,0.008963839,0.16733517
ENSG00000224660,1,0.10149952,3.4372244,1.1729965,0.022007987,0.2151075
ENSG00000224857,1,0.0038839849,3.4166753,1.1500181,0.0007231565,0.04120019
ENSG00000224875,1,0.15670939,3.451147,1.1885651,0.02801124,0.26914707
ENSG00000224943,1,5.7792397e-05,3.5980413,1.3528256,1.4007972e-05,0.004782848
ENSG00000224985,1,0.09404825,3.5781412,1.3305727,0.016338103,0.20168895
ENSG00000224992,1,0.0047538076,3.7589948,1.532807,0.00074279687,0.042966466
ENSG00000225002,1,0.00016353367,3.524422,1.2705028,2.381714e-05,0.008192413
ENSG00000225006,1,4.9080823e-05,3.4984353,1.2414439,1.070054e-05,0.004482279
ENSG00000225037,1,0.00055218494,3.4422574,1.1786246,9.227722e-05,0.015415612
ENSG00000225058,1,6.2518506e-05,3.4073663,1.1396086,1.4970979e-05,0.005199208
ENSG00000225106,1,5.8968286e-05,3.9420161,1.7374654,1.5394673e-05,0.004919054
ENSG00000225138,1,0.014364868,3.8526886,1.6375775,0.0039963215,0.08216584
ENSG00000225144,1,0.00047002098,3.4525416,1.1901246,0.0001127199,0.0143641895
ENSG00000225303,1,0.0010332944,3.4771075,1.2175949,0.00017327479,0.020933611
ENSG00000225335,1,0.05952587,3.822261,1.6035529,0.008068162,0.15115196
ENSG00000225339,1,0.2626712,3.4898846,1.2318823,0.048368927,0.35190135
